31
9838	10231	2783
9846	10110	2883
9875	10221	2844
9877	10286	3089
9884	10237	2745
9891	10101	2751
9915	10114	2935
9936	10338	3061
9968	10160	2726
9971	10140	2788
9979	10264	2860
10005	10154	2831
10049	10240	2933
10084	10390	3039
10130	10317	2897
10160	10256	2867
10208	10075	3032
10217	10225	3032
10250	10282	2832
10253	10349	3053
10351	10094	3004
10359	10126	2812
10365	10323	3075
10374	10236	2716
10374	10143	2815
10378	10399	2832
10385	10328	2739
10393	10304	3081
10420	10204	3010
10420	10068	3089
